Year,FileName,Title,Citation Count
2007,2007_4_1,Who is the” Platz-Hirsch “of the German Economics Profession?,51
2007,2007_4_2,The (bio) diversity of science reflects the interests of society,55
2007,2007_4_3,The pure h-index: calculating an author'sh-index by taking co-authors into account,52
2007,2007_4_4,Measuring conference quality by mining program committee characteristics,50
2007,2007_4_5,Toward alternative measures for ranking venues: a case of database research community,49
2007,2007_4_6,"Impact factor, H index, peer comparisons, and Retrovirology: is it time to individualize citation metrics?",44
2007,2007_4_7,The political science 400: A 20-year update,38
2007,2007_4_8,How do ecological journals stack-up? Ranking of scientific quality according to the h index,40
2007,2007_4_9,The strike rate index: a new index for journal quality based on journal size and the h-index of citations,37
2007,2007_4_10,A rational indicator of scientific creativity,40
2007,2007_5_1,Whither Latin America? trends and challenges of science in Latin America,38
2007,2007_5_2,Soil science and the h index,34
2007,2007_5_3,Playing the citations game,32
2007,2007_5_4,MESUR: usage-based metrics of scholarly impact,34
2007,2007_5_5,El factor de impacto de las revistas científicas: limitaciones e indicadores alternativos,175
2007,2007_5_6,An exploratory study of information systems researcher impact,35
2007,2007_5_7,The feasibility of developing and implementing journal usage factors: a research project sponsored by UKSG.,31
2007,2007_5_8,"R ??, AR ??: h ???????????",110
2007,2007_5_9,Assessing the quality of a scientific journal: the case of Revista Brasileira de Psiquiatria,29
2007,2007_5_10,A bibliometric evaluation of publications in urological journals among European Union countries between 2000–2005,31
2007,2007_6_1,Scoring research output using statistical quantile plotting,27
2007,2007_6_2,Quantifying the impact of hydrological studies,25
2007,2007_6_3,The relevance and recognition of Latin American science. Introduction to the fourth issue of CBP-Latin America,26
2007,2007_6_4,Gatekeepers of science—Effects of external reviewers' attributes on the assessments of fellowship applications,26
2007,2007_6_5,What does Hirsch index evolution explain us? A case study: Turkish Journal of Chemistry,21
2007,2007_6_6,h ???? h ??????????????,90
2007,2007_6_7,Academic institutions in the United States and Canada ranked according to research productivity in the field of conservation biology,19
2007,2007_6_8,Elite scientists and the global brain drain,22
2007,2007_6_9,Impact factors and prestige,17
2007,2007_6_10,Item-time-dependent Lotkaian informetrics and applications to the calculation of the time-dependent h-index and g-index,17
2007,2007_7_1,The science of research: The principles underlying the discovery of cognitive and other biological mechanisms,17
2007,2007_7_2,La productividad científica y el índice h de Hirchs de la psicología social española: convergencia entre indicadores de productividad y comparación con otras  …,0
2007,2007_7_3,Open sourcing ecological data,18
2007,2007_7_4,"Use Google Scholar, Scopus and Web of Science for comprehensive citation tracking",15
2007,2007_7_5,Using publication statistics for evaluation in academic psychiatry,15
2007,2007_7_6,TOP?curves,15
2007,2007_7_7,Colaboración científica entre países de la región latinoamericana,53
2007,2007_7_8,An ontological approach for the quality assessment of computer science conferences,14
2007,2007_7_9,Tracing the influence of JD Bernal on the world of science through citation analysis,14
2007,2007_7_10,CiteSearch: next-generation citation analysis,12
2007,2007_8_1,Delineating the citation impact of scientific discoveries,14
2007,2007_8_2,Una visión crítica del índice h: algunas consideraciones derivadas de su aplicación práctica.,37
2007,2007_8_3,?? h ????????????????,37
2007,2007_8_4,?? SCI ???????????????,39
2007,2007_8_5,????? h-?????????,35
2007,2007_8_6,? h ?????????????????,32
2007,2007_8_7,Measuring research performance in the mathematical sciences in Australian universities,12
2007,2007_8_8,Selecting scientific papers for publication via citation auctions,10
2007,2007_8_9,Software issues related to cited references,10
2007,2007_8_10,"A shifting mosaic of scholarly publishing, scientific delivery, and future impact changing the face of learned societies",9
2007,2007_9_1,El índice h de Hirsch: su aplicación a algunos de los científicos españoles más destacados,29
2007,2007_9_2,Working memory as a construct in cognitive science: An illustrious past and a highly promising future,11
2007,2007_9_3,Distributions of the h-index and the g-index,10
2007,2007_9_4,Diseño de un sistema de información y evaluación científica. Análisis ciencimétrico de la actividad investigadora de la Universidad de Navarra en el área de  …,0
2007,2007_9_5,?????? h ???????——??????????????,28
2007,2007_9_6,h ?????????????????,23
2007,2007_9_7,Asymptotics for the Hirsch index,8
2007,2007_9_8,????? ??????? ? ????????? ?????????????? ????????,20
2007,2007_9_9,Focus and future of occupational health journals,5
2007,2007_9_10,Some bibliometric indexes for members of the Scientific Association of Animal Production (ASPA),6
2007,2007_10_1,???????????????????,18
2007,2007_10_2,Two new discipline-independent indices to quantify individual's scientific research output,7
2007,2007_10_3,Social metadata for the impact factor,7
2007,2007_10_4,Should research performance be measured unidimensionally? Evidence from rankings of academic economists,6
2007,2007_10_5,"Hirsch's index: a case study conducted at the Faculdade de Filosofia, Ciências e Letras de Ribeirão Preto, Universidade de São Paulo",7
2007,2007_10_6,Discovering mentorship information from author collaboration networks,6
2007,2007_10_7,??????????????——h ??????,14
2007,2007_10_8,Producción científica de Cuba: una perspectiva desde la obra de dos mujeres académicas,11
2007,2007_10_9,A scientometric method to analyze scientific journals as exemplified by the area of information science,5
2007,2007_10_10,Profiling topics on the Web for knowledge discovery,6
2007,2007_11_1,Using the h-index to Explore the Scientific Impact of the VLT,6
2007,2007_11_2,Generalized h-index for revealing latent facts in social networks of citations,5
2007,2007_11_3,Impact factor and/or Hirsch index?,12
2007,2007_11_4,Centres of research excellence in economics in the republic of Ireland,4
2007,2007_11_5,Increasing discrepancy between absolute and effective indexes of research output in a Brazilian academic department,5
2007,2007_11_6,"GEOGRAPHICAL KNOWLEDGE, CASE STUDIES AND THE DIVISION OF LABOOUR",5
2007,2007_11_7,Citation auctions as a method to improve selection of scientific papers,3
2007,2007_11_8,What's Hot in Psychology?,2
2007,2007_11_9,Scientific indicators of productivity: Time for action,3
2007,2007_11_10,Time for a rethink of research proposal evaluation?,3
2007,2007_12_1,Hungary-and Tibor Braun-on top,3
2007,2007_12_2,?????????????????????,7
2007,2007_12_3,L'indice h: une nouvelle mesure pour quantifier l'impact scientifique des chercheurs,6
2007,2007_12_4,??????????????,6
2007,2007_12_5,Indice h (2000-2004) de los científicos ambientales más citados que residen en Chile,0
2007,2007_12_6,Top Ten. Diez años de investigación española en Biblioteconomía y Documentación (1996-2006). Ranking e índice h de los 10 autores en activo más citados,5
2007,2007_12_7,Web of Knowledge ???????????????,6
2007,2007_12_8,?????????,4
2007,2007_12_9,Relevantnost i kako se istraživala,4
2007,2007_12_10,"?? H ??, ?? H ??, ????????????",0
2007,2007_13_1,???????????? ????????: ???????? ??????? ????? ??? ??????? JASIS,4
2007,2007_13_2,??????? ?????? ? ??????????????? h-? g-???????,4
2007,2007_13_3,Publication Portfolio of the Czech Economists and Problems of Rankings,2
2007,2007_13_4,The problematic ratings game in modern science,2
2007,2007_13_5,Multidimensional fuzzy integrals,2
2007,2007_13_6,Economics in Ireland,2
2007,2007_13_7,Bibliometrie zwischen Forschung und Dienstleistung,3
2007,2007_13_8,?????????????,0
2007,2007_13_9,El índice h de Hirsch: su aplicación a algunos de los científicos españoles más destacados,29
2007,2007_13_10,????????????????: ?? 12 ????????,0
2007,2007_14_1,????????????,0
2007,2007_14_2,????????? SCIE ????????,0
2007,2007_14_3,"Citace: dobrý sluha, špatný pán",0
2007,2007_14_4,Characterization of researchers in condensed matter physics using simple quantity based on h-index,1
2007,2007_14_5,What impact? Whose value? Citation metrics in a work-flow perspective.,1
2007,2007_14_6,Soil bibliometrics: the h index,1
2007,2007_14_7,Chinese Journal of Chemistry's Hirsch Index: A Case Study of 1995-2005.,1
2007,2007_15_1,Iniciativas institucionales e individuales en la creación de estructuras científicas: El Instituto de Tecnología Química,4
2007,2007_15_2,Índice h de la Revista Chilena de Historia Natural: quinquenio 2000-2004,0
2007,2007_15_3,????: ??????,0
2007,2007_15_4,"Published in: Proceedings of ISSI 2007 (D. Torres-Salinas & HF Moed, eds.). Madrid: CINDOC-CSIC, pp. 514-522",0
2007,2007_15_5,Soil science is in great shape,941
2007,2007_15_6,DEVELOPMENT OF GENERAL-PURPOSE AND SPECIALIZED WEB SEARCH ENGINE,0
2007,2007_16_1,in conversation with rU researchers: What makes a good scientist?,0
2007,2007_16_2,A Higher Degree of Difficulty,0
2007,2007_16_3,Intimology and the search for cognitive mechanisms.,0
2007,2007_16_4,How do ecological journals stack-up? Ranking of scientific quality according to the h index,40
2007,2007_16_5,"ACADEMIC QUALITY, POWER, AND STABILITY: AN APPLICATION TO ECONOMICS IN THE REPUBLIC OF IRELAND",0
2007,2007_16_6,State and perspectives of national and international animal research,0
2007,2007_16_7,Dynamics of message interchange between stochastic units in the contexts of human communication behaviour and spiking neurons,0
2007,2007_16_8,12th International Conference on High Pressure Semiconductor Physics (HPSP?12): Concluding remarks,0
2007,2007_16_9,Centres of Research Excellence in Economics in the Republic of Ireland. WP180. May 2007,0
2007,2007_16_10,A Robust Benchmark for the h- and g-Indexes,13
2007,2007_17_1,"CONSOLIDER-INGENIO 2010, 2007 CALL Second phase Technical Report of the Research Activity Programme Multimodal Interaction in Pattern Recognition  …",0
2007,2007_17_2,Foreword,1754
2007,2007_17_3,Selecting Scientific Papers for Publication via Citation Auctions,10
2007,2007_17_4,Academic Program Review University of New Mexico,377
2007,2007_17_5,The Structural Equation Analysis on the Journal Citation Impact in the Field of Library and Information Science.,0
2007,2007_17_6,Key Paper Expert System Using Citation Analysis,0
2007,2007_17_7,Propuesta de un modelo de baremación para las publicaciones científicas en Biomedicina,0
2007,2007_17_8,Ventajas y limitaciones sobre el uso del factor de impacto y las bases de datos del ISI como medidores de la actividad científica de un organismo público de  …,0
2007,2007_17_9,Contribuciones cortas Aporte de Cuba al estudio de Angiostrongylus cantonensis,0
2007,2007_17_10,Number of papers p,2562
2008,2008_1_1,Google Scholar as a new source for citation analysis,597
2008,2008_1_2,Universality of citation distributions: Toward an objective measure of scientific impact,483
2008,2008_1_3,"Multi-university research teams: Shifting impact, geography, and stratification in science",476
2008,2008_1_4,Are there better indices for evaluation purposes than the h index? A comparison of nine different variants of the h index using data from biomedicine,410
2008,2008_1_5,Informetrics at the beginning of the 21st century—A review,332
2008,2008_1_6,Statistical analysis of the social network and discussion threads in slashdot,269
2008,2008_1_7,Caveats for the use of citation indicators in research and journal evaluations,222
2008,2008_1_8,The citation advantage of open?access articles,227
2008,2008_1_9,Bibliometrics to webometrics,229
2008,2008_1_10,Defrosting the digital library: bibliographic tools for the next generation web,215
2008,2008_2_1,"Citation counting, citation ranking, and h?index of human?computer interaction researchers: a comparison of Scopus and Web of Science",194
2008,2008_2_2,"To share the fame in a fair way, hm modifies h for multi-authored manuscripts",156
2008,2008_2_3,Nanotechnology publications and citations by leading countries and blocs,146
2008,2008_2_4,A new methodology for ranking scientific institutions,146
2008,2008_2_5,Lost in publication: how measurement harms science,144
2008,2008_2_6,Efficient modularity optimization by multistep greedy algorithm and vertex mover refinement,145
2008,2008_2_7,Effectiveness of journal ranking schemes as a tool for locating information,140
2008,2008_2_8,An axiomatic characterization of the Hirsch-index,138
2008,2008_2_9,A modification of the h-index: The h m-index accounts for multi-authored manuscripts,130
2008,2008_2_10,Rational (successive) h-indices: An application to economics in the Republic of Ireland,125
2008,2008_3_1,Beyond the Durfee square: Enhancing the h-index to score total publication output,129
2008,2008_3_2,A citation analysis of tourism scholars,134
2008,2008_3_3,Scientists who engage with society perform better academically,128
2008,2008_3_4,"Testing the calculation of a realistic h-index in Google Scholar, Scopus, and Web of Science for FW Lancaster",120
2008,2008_3_5,An h-index weighted by citation impact,116
2008,2008_3_6,Open access scientometrics and the UK Research Assessment Exercise,113
2008,2008_3_7,Mathematical theory of the h?and g?index in case of fractional counting of authorship,117
2008,2008_3_8,The pros and cons of computing the h-index using Google Scholar,110
2008,2008_3_9,The h-index and self-citations,108
2008,2008_3_10,Generalizing the h-and g-indices,104
2008,2008_4_1,Validating research performance metrics against peer rankings,99
2008,2008_4_2,Is g-index better than h-index? An exploratory study at the individual level,96
2008,2008_4_3,Promise and pitfalls of extending Google's PageRank algorithm to citation networks,98
2008,2008_4_4,Harmonic allocation of authorship credit: Source-level correction of bibliometric bias assures accurate publication and citation analysis,93
2008,2008_4_5,A ranking of journals in economics and related fields,87
2008,2008_4_6,Ranking forestry journals using the h-index,85
2008,2008_4_7,"A rational, successive g-index applied to economics departments in Ireland",82
2008,2008_4_8,"The most highly cited Library and Information Science articles: Interdisciplinarity, first authors and citation patterns",80
2008,2008_4_9,A quantitative analysis of indicators of scientific performance,77
2008,2008_4_10,An axiomatic analysis of Egghe's g-index,78
2008,2008_5_1,Is multidisciplinary research more highly cited? A macrolevel study,78
2008,2008_5_2,Seven myths in bibliometrics about facts and fiction in quantitative science studies,83
2008,2008_5_3,Is the h index related to (standard) bibliometric measures and to the assessments by peers? An investigation of the h index by using molecular life sciences data,74
2008,2008_5_4,The influence of self-citation corrections on Egghe'sg index,75
2008,2008_5_5,"An analysis of bibliometric indicators, National Institutes of Health funding, and faculty size at Association of American Medical Colleges medical schools,  …",72
2008,2008_5_6,Reflections on recent developments of the h-index and h-type indices,72
2008,2008_5_7,Using the h-index for assessing single publications,72
2008,2008_5_8,Editor's Comments,1036
2008,2008_5_9,Revisiting h measured on UK LIS and IR academics,70
2008,2008_5_10,"An empirical investigation of the g?index for 26 physicists in comparison with the h?index, the A?index, and the R?index",71
2008,2008_6_1,The plausibility of computing the h-index of scholarly productivity and impact using reference-enhanced databases,67
2008,2008_6_2,"“Publish or Perish” as citation metrics used to analyze scientific output in the humanities: International case studies in economics, geography, social sciences,  …",72
2008,2008_6_3,The pros and cons of computing the h-index using Scopus,66
2008,2008_6_4,Does the committee peer review select the best applicants for funding? An investigation of the selection process for two European molecular biology  …,70
2008,2008_6_5,A Google Scholar H-Index for journals: A better metric to measure journal impact in economics & business,56
2008,2008_6_6,Applying successive H indices in the institutional evaluation: a case study,57
2008,2008_6_7,Quantifying scholarly impact: IQp versus the Hirsch h,61
2008,2008_6_8,The $ h $-index and the number of citations: Two fuzzy integrals,58
2008,2008_6_9,Mathematical aspects of a new criterion for ranking scientific institutions based on the h-index,57
2008,2008_6_10,The pros and cons of computing the h-index using Web of Science,58
2008,2008_7_1,Comparison and evaluation of Chinese research performance in the field of bioinformatics,60
2008,2008_7_2,Who was the first to use the term Pickwickian in connection with sleepy patients? History of sleep apnoea syndrome,58
2008,2008_7_3,Comparison of scientists of the Brazilian Academy of Sciences and of the National Academy of Sciences of the USA on the basis of the h-index,54
2008,2008_7_4,Measuring co-authorship and networking-adjusted scientific impact,52
2008,2008_7_5,Testing bibliometric indicators by their prediction of scientists promotions,52
2008,2008_7_6,The siege of science,50
2008,2008_7_7,On some new bibliometric applications of statistics related to the h-index,50
2008,2008_7_8,Self-citation can inflate h-index,53
2008,2008_7_9,A proposal for a dynamic h?type index,50
2008,2008_7_10,Multistep greedy algorithm identifies community structure in real-world and computer-generated networks,48
2008,2008_8_1,"Challenges for scientometric indicators: data demining, knowledge-flow measurements and diversity issues",56
2008,2008_8_2,Reflections on the h-index,53
2008,2008_8_3,The w-index: A significant improvement of the h-index,44
2008,2008_8_4,"Factors and indices are one thing, deciding who is scholarly, why they are scholarly, and the relative value of their scholarship is something else entirely",44
2008,2008_8_5,Researchers9 writing competence: a bottleneck in the publication of Latin?American science?,42
2008,2008_8_6,The relationship between citations and number of downloads in Decision Support Systems,47
2008,2008_8_7,H-index in the Brazilian Academy of Sciences: comments and concerns,43
2008,2008_8_8,Quantitative trends in sponge ecology research,43
2008,2008_8_9,New organisational behaviour of public research institutions: lessons learned from Italian case study,43
2008,2008_8_10,A symmetry axiom for scientific impact indices,39
2008,2008_9_1,Testing the validity of the Hirsch-index for research assessment purposes,45
2008,2008_9_2,Definitions of time series in citation analysis with special attention to the h-index,36
2008,2008_9_3,Institutional h-index: The performance of a new metric in the evaluation of Brazilian Psychiatric Post-graduation Programs,42
2008,2008_9_4,Properties of Hirsch-type indices: The case of library classification categories,38
2008,2008_9_5,H-trust: A robust and lightweight group reputation system for peer-to-peer desktop grid,39
2008,2008_9_6,Study of different h?indices for groups of authors,37
2008,2008_9_7,The multi-dimensionality of journal impact,35
2008,2008_9_8,Hirsch-type indices for characterizing networks,35
2008,2008_9_9,Statistical search on the Semantic Web,34
2008,2008_9_10,The influence of transformations on the h?index and the g?index,30
2008,2008_10_1,Assessment of research performance in biology: how well do peer review and bibliometry correlate?,33
2008,2008_10_2,"Journal impact factors, h indices, and citation analyses in toxicology",19
2008,2008_10_3,"Woeginger's axiomatisation of the h-index and its relation to the g-index, the h (2)-index and the R 2-index",28
2008,2008_10_4,Emerging alternatives to the impact factor,28
2008,2008_10_5,Random drift versus selection in academic vocabulary: An evolutionary analysis of published keywords,29
2008,2008_10_6,Optimizing the Bonus-Penalty Structure of Large-Scale Project Scheduling Problem: A Flexible Resource-Constrained View,27
2008,2008_10_7,Examples of simple transformations of the h-index: Qualitative and quantitative conclusions and consequences for other indices,25
2008,2008_10_8,Reference accuracy: best practices for making the links,25
2008,2008_10_9,Evaluation of Moroccan research using a bibliometric-based approach: Investigation of the validity of the h-index,28
2008,2008_10_10,Modelling successive h-indices,26
2008,2008_11_1,The power law model and total career h-index sequences,28
2008,2008_11_2,Education for information science,22
2008,2008_11_3,Personalized ranking for digital libraries based on log analysis,24
2008,2008_11_4,??????????——h ????????,95
2008,2008_11_5,Carbon nanotubes–a scientometric study,24
2008,2008_11_6,Trends in the use of ISI citation databases for evaluation,23
2008,2008_11_7,A fuzzy-enhanced multicriteria decision analysis model for evaluating university Academics' research output,21
2008,2008_11_8,A longer paper gathers more citations,20
2008,2008_11_9,Rawal Medical Journal-An analysis of citation pattern,21
2008,2008_11_10,Impact factor: time to move on,21
2008,2008_12_1,National research contributions: A case study on Finnish biomedical research,18
2008,2008_12_2,The DCI index: Discounted cumulated impact?based research evaluation,23
2008,2008_12_3,The h-index of h-index and of other informetric topics,21
2008,2008_12_4,The age?dependent h?type AR2?index: Basic properties and a case study,19
2008,2008_12_5,Does the human capital of teams of natural science authors predict citation frequency?,21
2008,2008_12_6,University investment in the library: What's the return,21
2008,2008_12_7,Measuring individual research productivity: A review and development of the integrated research productivity index.,17
2008,2008_12_8,Gauging the impact of journals,19
2008,2008_12_9,Evaluating scientific products by means of citation-based models: a first analysis and validation,18
2008,2008_12_10,Bibliometric overview of operations research/management science research in Asia,18
2008,2008_13_1,On becoming a high impact journal in international business and management,19
2008,2008_13_2,"On Hirsch'sh, Egghe'sg and Kosmulski'sh (2)",17
2008,2008_13_3,Scientometrics today: a methodological overview,15
2008,2008_13_4,Comparing the Google Scholar h-index with the ISI journal impact factor,19
2008,2008_13_5,Macedonian medical journals have very limited scientific influence,18
2008,2008_13_6,"Introducing the Current Contribution Index for characterizing the recent, relevant impact of journals",17
2008,2008_13_7,Using citation analysis for finding experts in workgroups,18
2008,2008_13_8,Anaesthetic research in the United Kingdom: publishing or perishing?,17
