Year,File Name,Title,Citation Count,Single Labeled,Multi Labeled
2007,2007_2_1,Scaling the h-index for different scientific ISI fields,200,Base  ,Base
2007,2007_2_10,Dynamic h?index: The Hirsch index in function of time,124,Compare  ,Compare
2007,2007_2_2,The mismeasurement of science,200,Base  Neutral  ,Neutral
2007,2007_2_3,A systematic analysis of Hirsch-type indices for journals,187,Use  ,Use
2007,2007_2_4,Self-citation corrections for the Hirsch index,164,Compare  ,Compare
2007,2007_2_5,Successive h-indices,146,Base  ,Base
2007,2007_2_6,Achievement index climbs the ranks,141,Use  ,Use
2007,2007_2_7,Using the h?index to rank influential British researchers in information science and librarianship,142,Modify  ,Modify
2007,2007_2_8,Hirsch-index for countries based on Essential Science Indicators data,146,Neutral  ,Neutral
2007,2007_2_9,Eminence of scientists in the light of the h-index and other scientometric indicators,130,Base  ,Base
2007,2007_3_1,The R- and AR-indices: Complementing the h-index,568,Support  ,Support
2007,2007_3_2,The influence of missing publications on the Hirsch index,95,Compare  ,Compare
2007,2007_3_3,Usefulness of Hirschsh-index to evaluate scientific research in Spain,97,Compare  ,Compare
2007,2007_3_4,On the h-index the size of the Hirsch core and Jins A-index,93,Use  ,Use
2007,2007_3_5,Hirsch index or Hirsch rate? Some thoughts arising from Liangs data,84,Motivate  ,Motivate
2007,2007_3_6,National scientific facilities and their science impact on nonbiomedical research,79,Neutral  ,Neutral
2007,2007_3_7,A case study of the Hirsch index for 26 non?prominent physicists,74,Compare  ,Compare
2007,2007_3_8,What is the future of peer review? Why is there fraud in science? Is plagiarism out of control? Why do scientists do bad things? Is it all a case of:“All that is  …,67,Modify  ,Modify
2007,2007_3_9,Convergent validation of peer review decisions using the h index: extent of and reasons for type I and type II errors,55,Base  ,Base
2007,2007_4_1,Who is the” Platz-Hirsch “of the German Economics Profession?,51,Base  ,Base
2007,2007_4_10,A rational indicator of scientific creativity,40,Modify  ,Modify
2007,2007_4_2,The (bio) diversity of science reflects the interests of society,55,Modify  ,Modify
2007,2007_4_3,The pure h-index: calculating an authorsh-index by taking co-authors into account,52,Use  ,Use
2007,2007_4_4,Measuring conference quality by mining program committee characteristics,50,Use  Support  Modify  ,Modify
2007,2007_4_5,Toward alternative measures for ranking venues: a case of database research community,49,Neutral  ,Neutral
2007,2007_4_6,Impact factor H index peer comparisons and Retrovirology: is it time to individualize citation metrics?,44,Base  Support  ,Support
2007,2007_4_7,The political science 400: A 20-year update,38,Motivate  ,Motivate
2007,2007_4_8,How do ecological journals stack-up? Ranking of scientific quality according to the h index,40,Modify  ,Modify
2007,2007_4_9,The strike rate index: a new index for journal quality based on journal size and the h-index of citations,37,Compare  ,Compare
2007,2007_5_1,Whither Latin America? trends and challenges of science in Latin America,38,Compare  ,Compare
2007,2007_5_2,Soil science and the h index,34,Compare  ,Compare
2007,2007_5_3,Playing the citations game,32,Neutral  ,Neutral
2007,2007_5_4,MESUR: usage-based metrics of scholarly impact,34,Compare  ,Compare
2007,2007_5_6,An exploratory study of information systems researcher impact,35,Neutral  ,Neutral
2007,2007_5_7,The feasibility of developing and implementing journal usage factors: a research project sponsored by UKSG.,31,Support  ,Support
2007,2007_6_1,Scoring research output using statistical quantile plotting,27,Use  ,Use
2007,2007_6_10,Item-time-dependent Lotkaian informetrics and applications to the calculation of the time-dependent h-index and g-index,17,Neutral  ,Neutral
2007,2007_6_2,Quantifying the impact of hydrological studies,25,Base  ,Base
2007,2007_6_3,The relevance and recognition of Latin American science. Introduction to the fourth issue of CBP-Latin America,26,Base  ,Base
2007,2007_6_4,Gatekeepers of science—Effects of external reviewers attributes on the assessments of fellowship applications,26,Motivate  ,Motivate
2007,2007_6_5,What does Hirsch index evolution explain us? A case study: Turkish Journal of Chemistry,21,Base  ,Base
2007,2007_6_7,Academic institutions in the United States and Canada ranked according to research productivity in the field of conservation biology,19,Motivate  ,Motivate
2007,2007_6_8,Elite scientists and the global brain drain,22,Use  ,Use
2007,2007_6_9,Impact factors and prestige,17,Base  ,Base
2007,2007_7_1,The science of research: The principles underlying the discovery of cognitive and other biological mechanisms,17,Neutral  ,Neutral
2007,2007_7_10,CiteSearch: next-generation citation analysis,12,Base  ,Base
2007,2007_7_3,Open sourcing ecological data,18,Support  ,Support
2007,2007_7_5,Using publication statistics for evaluation in academic psychiatry,15,Modify  ,Modify
2007,2007_7_6,TOP?curves,15,Support  ,Support
2007,2007_7_9,Tracing the influence of JD Bernal on the world of science through citation analysis,14,Support  ,Support
2007,2007_8_1,Delineating the citation impact of scientific discoveries,14,Use  Modify  ,Modify
2007,2007_8_10,A shifting mosaic of scholarly publishing scientific delivery and future impact changing the face of learned societies,9,Motivate  ,Motivate
2007,2007_8_7,Measuring research performance in the mathematical sciences in Australian universities,12,Neutral  ,Neutral
2007,2007_8_8,Selecting scientific papers for publication via citation auctions,10,Modify  ,Modify
2007,2007_8_9,Software issues related to cited references,10,Compare  ,Compare
2007,2007_9_10,Some bibliometric indexes for members of the Scientific Association of Animal Production (ASPA),6,Modify  ,Modify
2007,2007_9_2,Working memory as a construct in cognitive science: An illustrious past and a highly promising future,11,Modify  ,Modify
2007,2007_9_3,Distributions of the h-index and the g-index,10,Base  ,Base
2007,2007_9_7,Asymptotics for the Hirsch index,8,Use  ,Use
2007,2007_9_9,Focus and future of occupational health journals,5,Modify  ,Modify
2008,2008_10_1,Assessment of research performance in biology: how well do peer review and bibliometry correlate?,33,Base  ,Base
2008,2008_10_2,Journal impact factors h indices and citation analyses in toxicology,19,Use  Compare  ,Compare
2008,2008_10_3,Woegingers axiomatisation of the h-index and its relation to the g-index the h (2)-index and the R 2-index,28,Modify  ,Modify
2008,2008_10_4,Emerging alternatives to the impact factor,28,Modify  ,Modify
2008,2008_10_5,Random drift versus selection in academic vocabulary: An evolutionary analysis of published keywords,29,Neutral  ,Neutral
2008,2008_10_6,Optimizing the Bonus-Penalty Structure of Large-Scale Project Scheduling Problem: A Flexible Resource-Constrained View,27,Base  ,Base
2008,2008_10_7,Examples of simple transformations of the h-index: Qualitative and quantitative conclusions and consequences for other indices,25,Base  ,Base
2008,2008_10_8,Reference accuracy: best practices for making the links,25,Use  Motivate  ,Motivate
2008,2008_10_9,Evaluation of Moroccan research using a bibliometric-based approach: Investigation of the validity of the h-index,28,Compare  ,Compare
2008,2008_11_10,Impact factor: time to move on,21,Base  ,Base
2008,2008_11_2,Education for information science,22,Base  ,Base
2008,2008_11_3,Personalized ranking for digital libraries based on log analysis,24,Base  Use  Motivate  Compare  ,Compare
2008,2008_11_5,Carbon nanotubes–a scientometric study,24,Neutral  ,Neutral
2008,2008_11_6,Trends in the use of ISI citation databases for evaluation,23,Modify  ,Modify
2008,2008_11_7,A fuzzy-enhanced multicriteria decision analysis model for evaluating university Academics research output,21,Support  ,Support
2008,2008_11_8,A longer paper gathers more citations,20,Compare  ,Compare
2008,2008_11_9,Rawal Medical Journal-An analysis of citation pattern,21,Motivate  ,Motivate
2008,2008_12_1,National research contributions: A case study on Finnish biomedical research,18,Support  ,Support
2008,2008_12_10,Bibliometric overview of operations research/management science research in Asia,18,Support  ,Support
2008,2008_12_2,The DCI index: Discounted cumulated impact?based research evaluation,23,Compare  ,Compare
2008,2008_12_3,The h-index of h-index and of other informetric topics,21,Support  ,Support
2008,2008_12_4,The age?dependent h?type AR2?index: Basic properties and a case study,19,Compare  ,Compare
2008,2008_12_5,Does the human capital of teams of natural science authors predict citation frequency?,21,Use  ,Use
2008,2008_12_6,University investment in the library: Whats the return,21,Neutral  ,Neutral
2008,2008_12_7,Measuring individual research productivity: A review and development of the integrated research productivity index.,17,Use  ,Use
2008,2008_12_9,Evaluating scientific products by means of citation-based models: a first analysis and validation,18,Base  Modify  ,Modify
2008,2008_13_1,On becoming a high impact journal in international business and management,19,Base  ,Base
2008,2008_13_2,On Hirschsh Egghesg and Kosmulskish (2),17,Use  ,Use
2008,2008_13_3,Scientometrics today: a methodological overview,15,Motivate  ,Motivate
2008,2008_13_4,Comparing the Google Scholar h-index with the ISI journal impact factor,19,Base  ,Base
2008,2008_13_5,Macedonian medical journals have very limited scientific influence,18,Motivate  ,Motivate
2008,2008_13_6,Introducing the Current Contribution Index for characterizing the recent relevant impact of journals,17,Compare  ,Compare
2008,2008_13_7,Using citation analysis for finding experts in workgroups,18,Base  Support  Neutral  ,Neutral
2008,2008_13_8,Anaesthetic research in the United Kingdom: publishing or perishing?,17,Use  ,Use
2008,2008_13_9,An institutional postdoctoral research training program: predictors of publication rate and federal funding success of its graduates.,16,Use  ,Use
2008,2008_14_1,How long should an astronomical paper be to increase its Impact?,14,Use  ,Use
2008,2008_14_10,An analysis of the abstracts presented at the annual meetings of the Society for Neuroscience from 2001 to 2006,13,Base  ,Base
2008,2008_14_2,Bibliometric research in occupational health,15,Modify  ,Modify
2008,2008_14_3,H?index and impact factors: assessing the clinical impact of researchers and specialist journals,15,Modify  ,Modify
2008,2008_14_4,An Analysis and evaluation of existing methods and indicators for quality assessment of scientific publications,13,Neutral  ,Neutral
2008,2008_14_6,Weed research: is it delivering what it should?,19,Use  ,Use
2008,2008_14_7,Garfields demon and “surprising” or “unexpected” results in science,15,Use  ,Use
2008,2008_14_8,Evaluating Greek departments of computer science & engineering using bibliometric indices,14,Base  ,Base
2008,2008_14_9,The use of citation indicators to identify and support high-quality research in Poland,15,Neutral  ,Neutral
2008,2008_15_10,The influence of merging on h-type indices,11,Modify  ,Modify
2008,2008_15_3,The h-index of a conglomerate,12,Support  ,Support
2008,2008_15_4,Some problems of musical texts.,13,Use  ,Use
2008,2008_15_5,Journal impact factor and its importance for AFP,16,Base  ,Base
2008,2008_15_6,The Hirsch family of bibliometric indices as an improved measure of IS academic journal impact,14,Modify  ,Modify
2008,2008_15_7,Thh-index and medical physics,11,Compare  ,Compare
2008,2008_15_8,Scientific research in Bangladesh and a comparison with India and Pakistan,10,Compare  ,Compare
2008,2008_15_9,Journals as constituents of scientific discourse: economic heterodoxy,12,Compare  ,Compare
2008,2008_16_10,Max Planck—a conservative revolutionary,10,Motivate  ,Motivate
2008,2008_16_2,Anreize im Wissenschaftssystem,36,Use  ,Use
2008,2008_16_4,Research paper citation record keeping: It is not for wimps,10,Compare  ,Compare
2008,2008_16_5,The most cited intelligent systems articles,11,Neutral  ,Neutral
2008,2008_16_6,New exploratory work of evaluating a researchers output,11,Base  ,Base
2008,2008_17_2,Changing the challenge: measure what makes you better and be better at what you measure,9,Compare  ,Compare
2008,2008_17_6,The influence of the broadness of a query of a topic on its h?index: models and examples of the h?index of n?grams,9,Base  ,Base
2008,2008_17_7,How should research performances be measures? Evidence from rankings of academic economists,8,Compare  ,Compare
2008,2008_17_8,C-index: trust depth trust breadth and a collective trust measurement,8,Base  Use  ,Use
2008,2008_18_1,Max Born and his legacy to condensed matter physics,8,Use  ,Use
2008,2008_18_10,Assessing scholarly influence: Proposing new metrics,7,Motivate  ,Motivate
2008,2008_18_2,Exploration and evaluation of citation networks,7,Use  ,Use
2008,2008_18_3,The effect of scholarly communication practices on engagement with open access: An Australian study of three disciplines,7,Use  ,Use
2008,2008_18_7,Comparison of Journal Citation Reports and Scopus Impact Factors for ecology and environmental sciences journal,6,Support  ,Support
2008,2008_18_8,Publication productivity in geriatrics: 1995–2006,6,Neutral  ,Neutral
2008,2008_18_9,A service-oriented infrastructure for early citation management,6,Support  ,Support
2008,2008_19_1,SDSIrep: A reputation system based on SDSI,6,Base  Use  ,Use
2008,2008_19_2,Performance measurement of national R&D organisations using analytic hierarchy process: a case of India,6,Motivate  ,Motivate
2008,2008_19_3,On material transfer agreements and visibility of researchers in biotechnology,6,Base  ,Base
2008,2008_1_1,Google Scholar as a new source for citation analysis,597,Compare  ,Compare
2008,2008_1_2,Universality of citation distributions: Toward an objective measure of scientific impact,483,Use  ,Use
2008,2008_1_3,Multi-university research teams: Shifting impact geography and stratification in science,476,Motivate  ,Motivate
2008,2008_1_4,Are there better indices for evaluation purposes than the h index? A comparison of nine different variants of the h index using data from biomedicine,410,Use  ,Use
2008,2008_1_6,Statistical analysis of the social network and discussion threads in slashdot,269,Base  Use  Compare  ,Compare
2008,2008_1_7,Caveats for the use of citation indicators in research and journal evaluations,222,Use  ,Use
2008,2008_1_8,The citation advantage of open?access articles,227,Modify  ,Modify
2008,2008_1_9,Bibliometrics to webometrics,229,Motivate  ,Motivate
2008,2008_20_1,A scientometric analysis of recent aerospace research,6,Modify  ,Modify
2008,2008_20_3,The Hirsch Index and measuring the quality of scientific papers,5,Base  ,Base
2008,2008_20_5,A node aggregation strategy to reduce complexity of network visualization using semantic substrates,5,Base  Support  ,Support
2008,2008_20_6,Why publish?,6,Motivate  ,Motivate
2008,2008_20_7,Autonomic management of hybrid sensor grid systems and applications,5,Use  Modify  Compare  ,Compare
2008,2008_20_8,Increasing impact of scholarly journal articles: Practical strategies librarians can share,5,Motivate  ,Motivate
2008,2008_20_9,visualizing & exploring networks using semantic substrates,2,Neutral  ,Neutral
2008,2008_21_3,Acimed en Scholar Google: un análisis de citas de la Revista Cubana de los Profesionales de la Información y la Comunicación en la Salud,14,Modify  ,Modify
2008,2008_21_4,Re-interpretation of influence weightas a citation-based Index of New Knowledge (INK),4,Base  ,Base
2008,2008_21_5,Another h-type index for institutional evaluation,4,Modify  ,Modify
2008,2008_21_6,Ranking journals conferences and authors in computer graphics: a fuzzy reasoning,4,Compare  ,Compare
2008,2008_21_7,How do we ask for money?,24,Use  ,Use
2008,2008_22_1,On the Robustness of the h-index: a mathematical approach,8,Modify  ,Modify
2008,2008_22_6,Using citation analysis methods to assess the influence of STEM education evaluation,3,Base  ,Base
2008,2008_22_7,Doctoral Research at Mahatma Gandhi University 1983-2008: a Bibliometric Analysis,3,Modify  ,Modify
2008,2008_22_8,Should crop scientists consider a journals impact factor in deciding where to publish?,3,Use  ,Use
2008,2008_22_9,Social communities detection in Enron corpus using h-Index,3,Use  ,Use
2008,2008_23_1,Hirsch-index for winners of TIAFTs mid-career achievement award,4,Support  ,Support
2008,2008_23_2,The extent of influence: an alternative approach to identifying dominant contributors to a disciplines literature,4,Base  ,Base
2008,2008_23_3,Development and implementation of an institutional repository within a science engineering and technology (SET) environment,3,Modify  ,Modify
2008,2008_23_4,Use of Hirsch Index for Measuring the Impact of IS Academic Research and Journals,4,Compare  ,Compare
2008,2008_23_5,Mining social documents and networks,4,Base  Use  ,Use
2008,2008_23_6,Do you want to be counted or subject to a light touch? Research assessment in the UK and the social sciences—continued,3,Motivate  ,Motivate
2008,2008_24_10,Frozen footprints,2,Base  Use  ,Use
2008,2008_24_4,Towards a unified architecture of knowledge management system for a research institute,4,Use  ,Use
2008,2008_24_7,Citation patterns in open access journals,2,Motivate  ,Motivate
2008,2008_24_8,Unfolding the full potential of h-index for bibliographic ranking,2,Neutral  ,Neutral
2008,2008_24_9,Some Experience with Digital Publishing Open Access Repository Research Impact and Quality,2,Base  ,Base
2008,2008_25_1,The h-index a publication citation measurement,2,Neutral  ,Neutral
2008,2008_25_2,Learnometrics: Metrics for Learning Objects (Learnometrics: metrieken voor leerobjecten),2,Use  ,Use
2008,2008_25_3,Decomposition of terminology graphs for domain knowledge acquisition,1,Base  ,Base
2008,2008_25_5,Welcome to the Journal of Optometry,2,Motivate  ,Motivate
2008,2008_25_6,Reaching the Problems that Traditional OR/MS Methods Cannot Reach,4,Modify  ,Modify
2008,2008_25_7,A Measure to Characterize the Impact of Sets of Scientific Papers,2,Compare  ,Compare
2008,2008_25_8,Quantitative analysis of indexed publications on seventeen model organisms in nine countries from 1974 to 2006,2,Modify  ,Modify
2008,2008_26_1,Evaluating the quality of radiology research: what are the rules of the game?,3,Compare  ,Compare
2008,2008_26_8,Optimal application-oriented resource brokering in a high performance computing grid,2,Base  ,Base
2008,2008_27_10,KTH RAE 2008 bibliometric study,1,Modify  ,Modify
2008,2008_27_8,Z factor: a new index for measuring academic research output,1,Base  Compare  ,Compare
2008,2008_27_9,Is physics better than biology?,1,Use  ,Use
2008,2008_2_1,Citation counting citation ranking and h?index of human?computer interaction researchers: a comparison of Scopus and Web of Science,194,Use  ,Use
2008,2008_2_10,Rational (successive) h-indices: An application to economics in the Republic of Ireland,125,Compare  ,Compare
2008,2008_2_2,To share the fame in a fair way hm modifies h for multi-authored manuscripts,156,Modify  ,Modify
2008,2008_2_3,Nanotechnology publications and citations by leading countries and blocs,146,Compare  ,Compare
2008,2008_2_4,A new methodology for ranking scientific institutions,146,Support  ,Support
2008,2008_2_5,Lost in publication: how measurement harms science,144,Neutral  ,Neutral
2008,2008_2_6,Efficient modularity optimization by multistep greedy algorithm and vertex mover refinement,145,Base  ,Base
2008,2008_2_7,Effectiveness of journal ranking schemes as a tool for locating information,140,Base  ,Base
2008,2008_2_8,An axiomatic characterization of the Hirsch-index,138,Compare  ,Compare
2008,2008_2_9,A modification of the h-index: The h m-index accounts for multi-authored manuscripts,130,Modify  ,Modify
2008,2008_3_1,Beyond the Durfee square: Enhancing the h-index to score total publication output,129,Base  ,Base
2008,2008_3_10,Generalizing the h-and g-indices,104,Motivate  ,Motivate
2008,2008_3_2,A citation analysis of tourism scholars,134,Motivate  ,Motivate
2008,2008_3_3,Scientists who engage with society perform better academically,128,Motivate  ,Motivate
2008,2008_3_4,Testing the calculation of a realistic h-index in Google Scholar Scopus and Web of Science for FW Lancaster,120,Modify  ,Modify
2008,2008_3_5,An h-index weighted by citation impact,116,Neutral  ,Neutral
2008,2008_3_6,Open access scientometrics and the UK Research Assessment Exercise,113,Motivate  ,Motivate
2008,2008_3_7,Mathematical theory of the h?and g?index in case of fractional counting of authorship,117,Motivate  ,Motivate
